tag,n,trolls,p,lam,regimen,loc,fracTrolls,mean_rho_W,mean_rho_LW,mean_rangoFinal,mean_stdFinal,mean_convTime,mean_P_norm_vs_trolls,mean_propNegNormals,mean_medianFinalNormals,mean_resid_fp,mean_medianFinal,mean_meanFinal,std_convTime,std_rangoFinal,std_stdFinal,prop_stochastic,prop_substochastic,prop_isStrongLW,mean_nSCC_W,mean_nSCC_LW,mean_periodW,mean_periodLW,prop_isStrongW,prop_isPrimLW,mean_nSCC_W_over_n,mean_nSCC_LW_over_n,mean_rho_emp_W,mean_NDI,mean_P2,mean_P4,prop_consenso,mean_k_needed
n300_trolls60_desconectada_altoPR_lam0.35,300,60,0.009506304124427,0.35,desconectada,altoPR,0.2,,0.227003995746762,1.81450060379699,0.57235122555996,10.02,0.498497030394781,0.0943333333333333,0.348368164934365,4.25678675489705e-07,0.264891268409929,0.0659475344060601,0.14142135623731,0.0337652583592953,0.00526453756592545,1,1,0,20.74,144.36,NaN,NaN,0,0,0.0691333333333333,0.4812,1,171.997997264956,0.330964596688793,144.496769754691,0,9.58
n300_trolls60_desconectada_bajoPR_lam0.50,300,60,0.009506304124427,0.5,desconectada,bajoPR,0.2,,0.481949982060379,1.82342477055283,0.611071091194305,16.02,0.718295484671761,0.0155833333333333,0.488993683379223,6.06370761808694e-07,0.43483155245204,0.176825585301128,0.24660966430903,0.0289617704443839,0.00464337118926966,1,1,0,20.74,74.9,NaN,NaN,0,0,0.0691333333333333,0.249666666666667,1,147.801916605955,0.403526012886595,174.017223019475,0,18.96
n300_trolls60_desconectada_medioPR_lam0.50,300,60,0.009506304124427,0.5,desconectada,medioPR,0.2,,0.432843482559264,1.7761880615135,0.567403141954068,15.94,0.583718202309989,0.0928333333333334,0.345498228498903,6.50169347246044e-07,0.270651363014628,0.057296511052576,0.373073281634303,0.0354362114649245,0.00581577809480888,1,1,0,20.74,108.9,NaN,NaN,0,0,0.0691333333333333,0.363,1,152.469080402985,0.324296803946677,143.596873793563,0,16.94
n300_trolls60_desconectada_altoPR_lam0.50,300,60,0.009506304124427,0.5,desconectada,altoPR,0.2,,0.324291422495375,1.69445866006995,0.521333942071327,13.38,0.498497030394781,0.2255,0.208705379203655,5.6431788283573e-07,0.129459805291303,-0.0531356064004511,0.490314351478015,0.0431229782777109,0.00684139483721904,1,1,0,20.74,144.36,NaN,NaN,0,0,0.0691333333333333,0.4812,1,129.190079653608,0.273916599389456,121.932293737953,0,12.78
n300_trolls60_desconectada_bajoPR_lam0.65,300,60,0.009506304124427,0.65,desconectada,bajoPR,0.2,,0.626534976678492,1.74422351919057,0.59165661278281,25.76,0.718295484671761,0.0313333333333333,0.450528455218694,7.53036019024433e-07,0.398822854204261,0.134352168492767,0.591090310445063,0.0323143089363755,0.0067951062732576,1,1,0,20.74,74.9,NaN,NaN,0,0,0.0691333333333333,0.249666666666667,1,133.95026231321,0.367159872639223,162.769133788578,0,30.08
n300_trolls60_desconectada_medioPR_lam0.65,300,60,0.009506304124427,0.65,desconectada,medioPR,0.2,,0.562696527327043,1.66036532829511,0.521871752282229,23.84,0.583718202309989,0.207166666666667,0.215721981991221,7.61842918718392e-07,0.132571998385869,-0.0538652310099906,0.976457570893432,0.0519074321377252,0.00915602261683271,1,1,0,20.74,108.9,NaN,NaN,0,0,0.0691333333333333,0.363,1,120.216651738174,0.274648561467531,122.176289469639,0,24.94
n300_trolls60_desconectada_altoPR_lam0.65,300,60,0.009506304124427,0.65,desconectada,altoPR,0.2,,0.421578849243987,1.50132916399203,0.447676912903377,17.72,0.498497030394781,0.492166666666667,0.00449403284951981,6.53961159108041e-07,-0.0725468288579419,-0.21788029180278,0.809131557628931,0.0543198875088773,0.00875625468619011,1,1,0,20.74,144.36,NaN,NaN,0,0,0.0691333333333333,0.4812,1,85.8667237365221,0.247544020591472,106.648903709006,0,16.84
n300_trolls60_desconectada_bajoPR_lam0.80,300,60,0.009506304124427,0.8,desconectada,bajoPR,0.2,,0.771119971296606,1.60802594019345,0.553904389312375,48.32,0.718295484671761,0.0788333333333333,0.36420401138091,8.81675407913285e-07,0.314940830426099,0.0487954818703812,1.15068746089156,0.0404427783640143,0.012187304282422,1,1,0,20.74,74.9,NaN,NaN,0,0,0.0691333333333333,0.249666666666667,1,113.598083652734,0.308878574678564,141.326099085074,0,54.56
n300_trolls60_desconectada_medioPR_lam0.80,300,60,0.009506304124427,0.8,desconectada,medioPR,0.2,,0.692549572094823,1.43286912818734,0.436020057763596,38.7,0.583718202309989,0.5465,-0.0266244028298974,8.32311946942776e-07,-0.112659307065765,-0.244359799118483,3.15096357144468,0.0764884142000995,0.0156960791587949,1,1,0,20.74,108.9,NaN,NaN,0,0,0.0691333333333333,0.363,1,77.5876867563211,0.249941045996147,106.426003223914,0,39.52
n300_trolls60_desconectada_altoPR_lam0.80,300,60,0.009506304124427,0.8,desconectada,altoPR,0.2,,0.518866275992599,1.15029249507836,0.327945264356114,23.82,0.498497030394781,0.956416666666666,-0.302126077373081,7.16684569846068e-07,-0.367734973043787,-0.456756332114179,1.49406991066656,0.0632776553541904,0.0100843893293188,1,1,0,20.74,144.36,NaN,NaN,0,0,0.0691333333333333,0.4812,1,41.4521193521563,0.31619372764754,138.274519287023,0,22.38
